TICKER,Sector,MOM,vol_volatility_1m,volatility_1m,pe,circ_mv,dv_ratio,Portfolio Weight,Min TE,MVO,Benchmark Weight
600547.SH,有色金属,3,2,2,3,2,1,0.0000%,0.0000%,0.0000%,0.2280%
600583.SH,石油行业,2,1,2,3,1,1,0.0000%,0.0000%,0.0000%,0.1160%
600549.SH,有色金属,1,1,1,3,1,2,0.0000%,0.0000%,0.0000%,0.1000%
600566.SH,生物制药,3,1,3,2,2,3,0.0000%,0.0000%,0.0000%,0.1090%
600570.SH,电子信息,3,2,3,3,2,1,0.0000%,0.0000%,0.0000%,0.3090%
600585.SH,水泥行业,3,2,1,1,3,3,0.0000%,0.0000%,0.0000%,0.6500%
600588.SH,电子信息,2,2,3,3,2,1,0.0000%,0.0000%,0.0000%,0.2310%
600999.SH,金融行业,2,2,2,2,3,2,0.0000%,0.0000%,0.0000%,0.4130%
603260.SH,NaN,3,1,2,2,1,1,0.0000%,0.0000%,0.0000%,0.0350%
601211.SH,NaN,3,2,2,2,3,2,0.0000%,0.0000%,0.0000%,0.7570%
601216.SH,化工行业,2,2,1,1,1,3,0.0000%,0.0000%,0.0000%,0.0880%
601225.SH,煤炭行业,3,3,1,1,3,3,0.0000%,0.0000%,0.0000%,0.3370%
601228.SH,NaN,2,1,1,3,1,1,0.0000%,0.0000%,0.0000%,0.0730%
601229.SH,NaN,3,2,1,1,3,3,0.0000%,0.0000%,0.0000%,0.6300%
601238.SH,汽车制造,2,2,1,1,3,3,0.0000%,0.0000%,0.0000%,0.0960%
601288.SH,金融行业,2,3,1,1,3,3,7.6000%,2.8101%,12.1164%,1.4270%
601318.SH,金融行业,3,3,2,1,3,3,4.2658%,7.6248%,5.0723%,6.8300%
601328.SH,金融行业,3,3,1,1,3,3,3.2367%,3.3376%,0.0000%,1.7190%
601333.SH,交通运输,2,2,2,2,1,2,0.0000%,0.0000%,0.0000%,0.1190%
601336.SH,金融行业,3,3,3,2,3,2,0.0000%,0.0000%,0.0000%,0.3520%
601360.SH,NaN,1,1,2,3,1,1,0.0000%,0.0000%,0.0000%,0.0800%
601377.SH,金融行业,1,3,3,2,2,3,0.0000%,0.0000%,0.0000%,0.2290%
601390.SH,建筑建材,1,3,1,1,3,2,0.0000%,0.0000%,0.0000%,0.4990%
601398.SH,金融行业,3,3,1,1,3,3,9.3790%,2.0019%,29.0299%,1.2220%
601555.SH,金融行业,1,3,3,3,1,2,0.0000%,0.0000%,0.0000%,0.1690%
601212.SH,NaN,1,3,3,3,1,1,0.0000%,0.0000%,0.0000%,0.0240%
601198.SH,金融行业,1,2,3,2,2,2,0.0000%,0.0000%,0.0000%,0.1310%
601601.SH,金融行业,3,2,2,2,3,3,0.0000%,0.0000%,0.0000%,0.9700%
601186.SH,建筑建材,1,3,2,1,3,2,0.0000%,0.0000%,0.0000%,0.4650%
600893.SH,飞机制造,1,1,1,3,2,1,0.0000%,0.0000%,0.0000%,0.1980%
601006.SH,交通运输,2,2,1,1,3,3,0.0000%,0.0000%,0.0000%,0.5090%
601009.SH,金融行业,3,3,1,1,3,3,0.0000%,0.0000%,0.0000%,0.4150%
601012.SH,电子器件,3,2,3,2,3,1,0.0000%,0.0000%,0.0000%,0.4340%
601018.SH,交通运输,2,1,1,2,2,2,0.0000%,0.0000%,0.0000%,0.1320%
601021.SH,交通运输,3,1,2,2,2,1,0.0000%,0.0000%,0.0000%,0.0880%
601066.SH,NaN,1,3,3,2,1,2,0.0000%,0.0000%,0.0000%,0.0520%
601088.SH,煤炭行业,3,2,1,1,3,3,3.1912%,0.0000%,0.0000%,0.3930%
601108.SH,NaN,1,3,3,2,1,3,0.0000%,0.0000%,0.0000%,0.0280%
601111.SH,交通运输,2,3,2,2,3,2,0.0000%,0.0000%,0.0000%,0.2460%
601117.SH,建筑建材,2,1,1,2,2,2,0.0000%,0.0000%,0.0000%,0.1070%
601138.SH,NaN,1,2,1,2,1,3,0.0000%,0.0000%,0.0000%,0.1360%
601155.SH,NaN,3,2,2,1,3,3,0.0000%,0.0000%,0.0000%,0.2650%
601166.SH,金融行业,3,3,1,1,3,3,3.6999%,2.6346%,0.0000%,2.0460%
601169.SH,金融行业,2,2,1,1,3,3,0.0000%,0.0000%,0.0000%,0.8850%
601600.SH,有色金属,2,3,1,3,2,2,0.0000%,0.0000%,0.0000%,0.2320%
601607.SH,商业百货,1,1,2,1,2,2,0.0000%,0.0000%,0.0000%,0.1860%
603259.SH,NaN,3,1,2,3,1,2,0.0000%,0.0000%,0.0000%,0.0790%
601881.SH,NaN,2,3,3,2,1,2,0.0000%,0.0000%,0.0000%,0.0970%
601898.SH,煤炭行业,1,1,1,2,2,2,0.0000%,0.0000%,0.0000%,0.0840%
601899.SH,有色金属,2,3,1,2,3,3,0.0000%,0.0000%,0.0000%,0.3610%
601901.SH,金融行业,1,3,3,3,3,1,0.0000%,0.0000%,0.0000%,0.2520%
601919.SH,交通运输,1,2,2,2,2,2,0.0000%,0.0000%,0.0000%,0.1630%
601933.SH,商业百货,2,2,1,3,3,2,0.0000%,0.0000%,0.0000%,0.3090%
601939.SH,金融行业,3,3,1,1,3,3,0.0000%,0.0000%,0.0000%,0.4750%
601985.SH,NaN,2,2,1,2,3,2,0.0000%,0.0000%,0.0000%,0.2520%
601988.SH,金融行业,2,3,1,1,3,3,5.8776%,2.9607%,1.1283%,0.7760%
601989.SH,船舶制造,2,3,2,3,3,1,0.0000%,0.0000%,0.0000%,0.3940%
601991.SH,电力行业,2,1,1,3,2,3,0.0000%,0.0000%,0.0000%,0.0760%
601992.SH,水泥行业,1,3,2,1,2,2,0.0000%,0.0000%,0.0000%,0.1120%
601997.SH,NaN,2,1,1,1,1,3,0.0000%,0.0000%,0.0000%,0.1530%
601998.SH,金融行业,2,3,1,1,3,3,0.0000%,0.0000%,0.0000%,0.1750%
603156.SH,NaN,1,1,3,1,1,3,0.0000%,0.0000%,0.0000%,0.0230%
603160.SH,NaN,1,1,2,3,1,1,0.0000%,0.0000%,0.0000%,0.0660%
