TICKER,Sector,MOM,vol_volatility_1m,volatility_1m,pe,circ_mv,dv_ratio,Portfolio Weight,Min TE,MVO,Benchmark Weight
002925.SZ,NaN,3,1,3,2,1,2,0.0000%,0.0000%,0.0000%,0.0420%
300003.SZ,医疗器械,2,3,3,3,2,1,0.0000%,0.0000%,0.0000%,0.2180%
300015.SZ,医疗器械,3,1,2,3,3,1,0.0000%,0.0000%,0.0000%,0.2590%
300017.SZ,电子信息,1,3,2,2,1,1,0.0000%,0.0000%,0.0000%,0.1080%
300024.SZ,机械行业,1,1,2,3,1,1,0.0000%,0.0000%,0.0000%,0.1490%
300059.SZ,电子信息,2,3,3,3,3,1,0.0000%,0.0000%,0.0000%,0.4660%
300144.SZ,酒店旅游,3,1,2,3,1,1,0.0000%,0.0000%,0.0000%,0.1410%
300070.SZ,环保行业,1,2,2,1,1,2,0.0000%,0.0000%,0.0000%,0.1340%
300072.SZ,化工行业,1,2,3,1,1,1,0.0000%,0.0000%,0.0000%,0.0860%
300142.SZ,生物制药,1,1,2,3,2,1,0.0000%,0.0000%,0.0000%,0.2260%
300122.SZ,生物制药,1,1,3,3,2,1,0.0000%,0.0000%,0.0000%,0.1650%
300124.SZ,仪器仪表,1,1,3,3,2,2,0.0000%,0.0000%,0.0000%,0.2170%
300136.SZ,电子信息,3,3,3,2,1,1,0.0000%,0.0000%,0.0000%,0.1770%
603993.SH,NaN,2,3,1,3,3,2,0.0000%,0.0000%,0.0000%,0.2720%
