,Ticker,Sct
231,600482.SH,电器行业
232,600487.SH,电子信息
233,600489.SH,有色金属
234,600498.SH,电子信息
235,600516.SH,其它行业
236,600518.SH,生物制药
237,600519.SH,酿酒行业
238,600522.SH,电子信息
239,600535.SH,生物制药
240,600547.SH,有色金属
241,600549.SH,有色金属
242,600390.SH,有色金属
243,600372.SH,飞机制造
244,600570.SH,电子信息
245,600369.SH,金融行业
246,600196.SH,生物制药
247,601021.SH,交通运输
248,600219.SH,有色金属
249,600221.SH,交通运输
250,600233.SH,服装鞋类
251,600271.SH,电子信息
252,600276.SH,生物制药
253,600297.SH,医疗器械
254,600309.SH,化工行业
255,600332.SH,生物制药
256,600339.SH,化工行业
257,600340.SH,房地产
258,600346.SH,机械行业
259,600352.SH,化工行业
260,600362.SH,有色金属
261,600566.SH,生物制药
262,600406.SH,电子信息
263,600583.SH,石油行业
264,600816.SH,金融行业
265,600867.SH,生物制药
266,600886.SH,电力行业
267,600887.SH,食品行业
268,600893.SH,飞机制造
269,600900.SH,电力行业
270,600909.SH,NaN
271,600919.SH,NaN
272,600926.SH,NaN
273,600958.SH,金融行业
274,600977.SH,NaN
275,600998.SH,商业百货
276,600999.SH,金融行业
277,601006.SH,交通运输
278,601009.SH,金融行业
279,601018.SH,交通运输
280,600837.SH,金融行业
281,601012.SH,电子器件
282,600809.SH,酿酒行业
283,600690.SH,家电行业
284,600795.SH,电力行业
285,600585.SH,水泥行业
286,600588.SH,电子信息
287,600606.SH,房地产
288,600637.SH,传媒娱乐
289,600660.SH,汽车制造
290,600688.SH,石油行业
291,600674.SH,电力行业
292,600703.SH,电子器件
293,600704.SH,物资外贸
294,600705.SH,金融行业
295,600739.SH,物资外贸
296,600741.SH,汽车制造
297,600760.SH,汽车制造
298,000538.SZ,生物制药
299,000661.SZ,生物制药
300,601718.SH,服装鞋类
301,000060.SZ,有色金属
302,601866.SH,交通运输
303,601958.SH,有色金属
304,600373.SH,传媒娱乐
305,600376.SH,房地产
306,600663.SH,房地产
307,600959.SH,传媒娱乐
308,601099.SH,金融行业
309,600682.SH,商业百货
310,600804.SH,电子信息
311,600820.SH,建筑建材
312,002500.SZ,金融行业
313,600008.SH,环保行业
314,300027.SZ,传媒娱乐
315,002608.SZ,船舶制造
316,002739.SZ,传媒娱乐
317,000723.SZ,煤炭行业
318,000559.SZ,汽车制造
319,000623.SZ,生物制药
320,002470.SZ,农药化肥
321,002074.SZ,发电设备
322,002385.SZ,农林牧渔
323,002426.SZ,电子器件
324,002831.SZ,NaN
325,002839.SZ,NaN
326,002841.SZ,NaN
327,002424.SZ,生物制药
328,002465.SZ,电子信息
329,600074.SH,电子信息
330,300315.SZ,电子信息
331,600021.SH,电力行业
332,000686.SZ,金融行业
333,000738.SZ,飞机制造
334,000750.SZ,金融行业
335,000008.SZ,综合行业
336,002174.SZ,电子信息
337,002292.SZ,传媒娱乐
338,601375.SH,NaN
339,601608.SH,机械行业
340,601163.SH,NaN
341,601966.SH,NaN
342,601872.SH,交通运输
343,600827.SH,商业百货
344,600871.SH,石油行业
345,600895.SH,开发区
346,600649.SH,供水供气
347,600685.SH,船舶制造
348,601118.SH,化工行业
349,002299.SZ,农林牧渔
350,600037.SH,传媒娱乐
351,600060.SH,家电行业
352,300133.SZ,传媒娱乐
353,300168.SZ,电子信息
354,000718.SZ,房地产
355,000009.SZ,房地产
356,000156.SZ,传媒娱乐
357,002049.SZ,电子器件
358,002131.SZ,机械行业
359,002152.SZ,电子信息
360,002183.SZ,交通运输
361,002195.SZ,电子信息
362,000793.SZ,传媒娱乐
363,000917.SZ,传媒娱乐
364,000977.SZ,电子信息
365,601127.SH,NaN
366,600446.SH,电子信息
367,600256.SH,综合行业
368,600718.SH,电子信息
369,600737.SH,食品行业
370,600150.SH,船舶制造
371,000540.SZ,房地产
372,000555.SZ,电子信息
373,002568.SZ,食品行业
374,300002.SZ,电子信息
375,300058.SZ,印刷包装
376,300085.SZ,电子信息
377,300146.SZ,食品行业
378,300182.SZ,电子信息
379,000778.SZ,钢铁行业
380,000800.SZ,汽车制造
381,000712.SZ,金融行业
382,000027.SZ,电力行业
383,000039.SZ,机械行业
384,000061.SZ,农林牧渔
385,601258.SH,汽车制造
386,603885.SH,其它行业
387,600873.SH,食品行业
388,600875.SH,发电设备
389,601928.SH,传媒娱乐
390,600839.SH,家电行业
391,600252.SH,生物制药
392,600754.SH,酒店旅游
393,600783.SH,其它行业
394,600582.SH,机械行业
395,600648.SH,开发区
396,600654.SH,电子信息
397,603000.SH,电子信息
398,300104.SZ,电子信息
399,600666.SH,生物制药
400,600005.SH,钢铁行业
401,002399.SZ,生物制药
402,601098.SH,传媒娱乐
403,000883.SZ,电力行业
404,000825.SZ,钢铁行业
405,600485.SH,电子信息
406,000046.SZ,房地产
407,000729.SZ,酿酒行业
408,600600.SH,酿酒行业
409,600578.SH,电力行业
410,600317.SH,交通运输
411,601016.SH,电力行业
412,601106.SH,机械行业
413,600098.SH,电力行业
414,601179.SH,发电设备
415,600863.SH,电力行业
416,000999.SZ,生物制药
417,600022.SH,钢铁行业
418,600642.SH,电力行业
419,600350.SH,公路桥梁
420,600633.SH,传媒娱乐
421,600166.SH,汽车制造
422,600717.SH,交通运输
423,000581.SZ,汽车制造
424,601231.SH,电子器件
425,601969.SH,钢铁行业
426,002375.SZ,建筑建材
427,002410.SZ,电子信息
428,000539.SZ,电力行业
429,601158.SH,供水供气
430,000400.SZ,发电设备
431,600315.SH,化工行业
432,000598.SZ,环保行业
433,002038.SZ,生物制药
434,000831.SZ,有色金属
435,002353.SZ,机械行业
436,601699.SH,煤炭行业
437,000937.SZ,煤炭行业
438,002129.SZ,电子器件
439,000629.SZ,钢铁行业
440,000960.SZ,有色金属
441,002570.SZ,食品行业
442,002051.SZ,建筑建材
443,000878.SZ,有色金属
444,600316.SH,飞机制造
445,600597.SH,食品行业
446,600277.SH,化工行业
447,600348.SH,煤炭行业
448,000970.SZ,电子信息
449,601929.SH,传媒娱乐
450,601168.SH,有色金属
451,002653.SZ,生物制药
452,600497.SH,有色金属
453,600108.SH,农林牧渔
454,002344.SZ,商业百货
455,000024.SZ,房地产
456,000401.SZ,水泥行业
457,600655.SH,商业百货
458,600267.SH,生物制药
459,603699.SH,机械行业
460,600079.SH,生物制药
461,600058.SH,物资外贸
462,000869.SZ,酿酒行业
463,002603.SZ,生物制药
464,600664.SH,生物制药
465,600143.SH,塑料制品
466,600880.SH,印刷包装
467,600395.SH,煤炭行业
468,000536.SZ,电子器件
469,002429.SZ,家电行业
470,601299.SH,交通运输
471,002416.SZ,商业百货
472,002400.SZ,印刷包装
473,600832.SH,综合行业
474,000656.SZ,房地产
475,000596.SZ,酿酒行业
