,symbol,open,high,low,close,pct_chg,vol,benchmark,Sector,MOM,vol_volatility_1m,volatility_1m,pe,circ_mv,dv_ratio,shibor_1m,shibor_6m,libor_1m,libor_6m,shibor_lpr_1y,index
16637,601939.SH,3.98,3.99,3.95,3.96,-0.009499999999999991,139656.13,8.800000000000001e-05,金融行业,-0.05999999999999961,161879.85392849267,0.7221763981184509,4.6122,3799088.412,6.77,4.604,5.0,0.1505,0.3225,5.77,2014-04-30
14923,601939.SH,4.1,4.24,4.09,4.18,0.027199999999999995,1964052.85,0.015958,金融行业,0.09999999999999964,367088.21052624023,0.7746102245641564,4.8684,4010148.8793,6.41,3.991,4.77,0.1559,0.3279,5.76,2014-10-31
7683,601939.SH,5.43,5.45,5.39,5.44,-0.022,935523.53,0.003735,金融行业,0.0600000000000005,465329.2283745017,1.209653979450049,5.9614,5218949.7377,5.53,3.3059,3.2864,0.77167,1.31767,4.3,2016-12-30
3684,601939.SH,8.3,8.38,8.18,8.31,-0.1293,1213791.56,-0.008706,金融行业,-0.5299999999999994,788976.352540237,2.323367975590471,8.976,7972329.4706,3.35,4.0428,4.7287,1.67007,2.22375,4.3,2018-02-28
5685,601939.SH,6.79,6.85,6.71,6.74,0.09329999999999998,713414.37,0.004294,金融行业,0.22000000000000064,401095.37099265354,1.2425074446454278,7.2802,6466125.2264,4.07,3.889,4.3493,1.23167,1.455,4.3,2017-07-31
12932,601939.SH,6.33,6.67,6.18,6.37,-0.06730000000000001,4390718.05,0.001411,金融行业,-0.05999999999999961,814994.1686512721,2.2648140652158077,6.9902,6111159.895,4.71,2.276,3.211,0.184,0.42465,5.05,2015-05-29
1956,601939.SH,6.83,6.96,6.77,6.88,-0.016582999999999994,728204.11,-0.004951,金融行业,0.3600000000000003,282361.54063542973,1.2882296479662825,7.1,6600436.4329,4.04,2.72,3.207,2.11375,2.53563,4.31,2018-08-31
4833,601939.SH,7.22,7.24,7.14,7.16,0.027999999999999997,538460.2,-0.000749,金融行业,0.08000000000000007,300508.5648402912,1.1192509772161596,7.7339,6869058.8459,3.83,4.027,4.3978,1.24333,1.57511,4.3,2017-10-31
17001,601939.SH,4.02,4.05,3.98,4.0,0.03639999999999999,391316.11,-0.00263,金融行业,0.18000000000000016,98416.69642037159,0.8286893265870671,4.6588,3837463.0424,6.7,4.617,5.0,0.152,0.3289,5.76,2014-03-31
1375,601939.SH,7.15,7.18,7.06,7.15,-0.007328000000000001,697285.91,0.014006000000000001,金融行业,0.3200000000000003,282666.9787361827,2.298580467157792,7.3786,6859465.1883,3.89,2.689,3.298,2.30688,2.80013,4.31,2018-10-31
8668,601939.SH,5.26,5.28,5.24,5.27,0.04210000000000001,583025.53,0.004772,金融行业,-0.020000000000000462,417794.2141251294,1.1390148155310893,5.7751,5055857.5584,5.71,2.696,2.8915,0.52489,1.2445,4.3,2016-08-31
10529,601939.SH,4.61,4.61,4.4,4.53,-0.0582,1380449.08,-0.023936000000000002,金融行业,-0.08999999999999986,320090.2963721826,1.6033804913367737,4.971,4345926.8955,6.64,2.8,3.022,0.4405,0.8859,4.3,2016-02-29
3435,601939.SH,7.68,7.86,7.66,7.75,-0.0667,1372316.42,0.001142,金融行业,-0.16000000000000014,542427.3237145498,1.618963480131452,7.9978,7435084.6447,3.59,4.2884,4.5686,0.1865,0.44485,4.3,2018-03-30
12680,601939.SH,6.63,7.14,6.55,7.13,0.12489999999999998,6308766.2,0.067147,金融行业,0.22999999999999954,1684137.0635963515,3.3286277578004007,7.8242,6840277.8731,4.21,3.521,3.18,0.1865,0.44485,4.8,2015-06-30
15892,601939.SH,4.11,4.15,4.11,4.15,0.0801,359110.76,0.012162,金融行业,0.2400000000000002,214090.481776142,0.9584028380588825,4.8335,3981367.9065,6.46,4.2,4.9,0.156,0.3345,5.76,2014-07-31
4552,601939.SH,7.11,7.15,7.09,7.14,-0.0010000000000000026,633904.99,-0.011755,金融行业,0.35999999999999943,444577.37501650257,1.3839024532095208,7.7123,6849871.5307,3.84,4.072,4.703,1.37188,1.668,4.3,2017-11-30
16471,601939.SH,4.06,4.06,4.01,4.03,0.017800000000000003,266086.82,0.000603,金融行业,0.03000000000000025,48708.307605938324,0.3901525342725997,4.6937,3866244.0152,6.65,3.861,4.9998,0.151,0.3219,5.77,2014-05-30
15997,601939.SH,4.11,4.14,4.11,4.13,0.0251,151081.31,0.0069110000000000005,金融行业,-0.0600000000000005,81424.24855161288,0.6337071484521304,4.8102,3962180.5913,6.49,5.004,4.9007,0.1552,0.3268,5.76,2014-06-30
5345,601939.SH,7.02,7.02,6.85,6.99,0.0381,1912424.17,-0.003184,金融行业,0.23000000000000043,414381.09059937333,1.230238188319371,7.5502,6705966.6666,3.92,3.892,4.3884,1.23167,1.45389,4.3,2017-08-31
1666,601939.SH,7.12,7.32,7.11,7.24,0.05354699999999999,1334490.19,0.010364,金融行业,0.6000000000000005,412844.888938977,1.5863910862077233,7.4715,6945808.1067,3.84,2.8,3.282,2.26056,2.60388,4.31,2018-09-28
13294,601939.SH,6.99,7.0,6.84,6.85,0.1224,3088007.64,-0.005119,金融行业,-0.35000000000000053,1763741.7839204941,2.5559203821714234,7.5169,6571655.4601,4.38,3.465,4.324,0.181,0.4079,5.3,2015-04-30
10887,601939.SH,4.75,4.85,4.72,4.81,-0.17989999999999998,1048269.22,0.032355,金融行业,-0.28000000000000025,196493.89916005256,1.70575342590873,5.2783,4614549.3085,6.26,3.168,3.1225,0.425,0.86025,4.3,2016-01-29
7394,601939.SH,5.69,5.77,5.68,5.75,0.055700000000000006,812376.06,0.0035709999999999995,金融行业,0.2599999999999998,233174.25363512553,0.5640414435121909,6.3011,5516353.1235,4.77,3.851,3.8377,0.77611,1.36183,4.3,2017-01-26
7127,601939.SH,5.89,5.93,5.88,5.92,0.02989999999999999,418062.75,0.001912,金融行业,0.1299999999999999,322837.2199728182,0.9099388715728771,6.4874,5679445.3028,4.63,4.08,4.196,0.78889,1.37489,4.3,2017-02-28
2943,601939.SH,7.44,7.5,7.3,7.48,-0.031200000000000002,1211546.91,0.000368,金融行业,-0.17999999999999972,521793.63753754843,2.2403858484643506,7.7192,7176055.8893,3.72,3.899,4.184,1.90701,2.51956,4.31,2018-04-27
5948,601939.SH,6.19,6.19,6.1,6.15,0.010199999999999994,932212.08,-0.000553,金融行业,0.03000000000000025,417587.57147316297,0.9378607305988074,6.6429,5900099.4277,4.46,4.4608,4.4743,1.22389,1.44767,4.3,2017-06-30
805,601939.SH,6.31,6.39,6.3,6.37,-0.041847000000000016,670219.27,0.006737,金融行业,-0.2400000000000002,298085.061106016,1.0602347397035914,6.5737,6111159.895,4.36,3.492,3.297,2.51988,2.87313,4.31,2018-12-28
9029,601939.SH,5.02,5.07,5.02,5.06,0.06470000000000001,574778.02,-0.005342,金融行业,-0.03000000000000025,394196.6212214683,1.2094713721288801,5.545,4854390.7486,5.95,2.773,2.936,0.4959,1.1117,4.3,2016-07-29
11652,601939.SH,5.5,5.51,5.47,5.48,0.0571,461314.13,0.00021799999999999999,金融行业,0.020000000000000462,264760.2601575112,0.9138758121316715,6.0135,5257324.3681,5.47,2.7645,3.2265,0.192,0.55165,4.3,2015-10-30
417,601939.SH,6.9,7.1,6.9,7.07,0.10611600000000002,1297088.24,0.010462,金融行业,0.6200000000000001,297075.01670138235,1.1477714123898126,7.2961,6782715.9274,4.1160000000000005,2.839,3.021,2.51375,2.7995,4.31,2019-01-31
6823,601939.SH,5.91,5.98,5.9,5.94,0.0037,812270.52,0.005612000000000001,金融行业,0.05000000000000071,177477.6199455958,0.6233768924168824,6.4161,5698632.618,4.61,4.3501,4.35,0.98278,1.42322,4.3,2017-03-31
10984,601939.SH,5.78,5.81,5.76,5.78,0.005599999999999989,476858.43,-0.009075,金融行业,0.0,261048.82177135532,1.3372781124356083,6.3427,5545134.0963,5.19,3.002,3.2,0.4295,0.84615,4.3,2015-12-31
2535,601939.SH,6.44,6.58,6.44,6.55,-0.08130000000000001,921416.51,0.025546000000000003,金融行业,-0.5600000000000005,483654.96018128406,1.3765837242969814,6.7595,6283845.7319,4.24,4.031,4.223,2.09025,2.50125,4.31,2018-06-29
