,symbol,Wgt_Port
387,601398,0.09378970109614058
361,600519,0.0934352567218202
379,601288,0.07599958410227199
577,600028,0.062184032409887256
419,601988,0.0587759761079495
348,600816,0.05874040085898723
360,600516,0.057335314201758386
315,600157,0.05589158204922298
321,600104,0.04532843995458628
380,601318,0.042658298253759254
457,000625,0.04233207804395615
524,600036,0.03854698702174338
541,002450,0.03710123521832471
406,601166,0.03699871587773778
445,601857,0.036976716967346064
537,002601,0.03567594782072908
381,601328,0.03236715192463482
334,600518,0.03200503599882086
573,600019,0.031945555486253184
400,601088,0.0319119898840701
